time_measured,temperature,relative_humidity,ambient_light,barometric_pressure,sound_noise,eTVOC,eCO2,discomfort_index,heat_stroke,vibration_information,si_value,pga,seismic_intensity,temperature_flag,relative_humidity_flag,ambient_light_flag,barometric_pressure_flag,sound_noise_flag,etvoc_flag,eco2_flag,discomfort_index_flag,heat_stroke_flag,si_value_flag,pga_flag,seismic_intensity_flag
1710146822,20.12,42.36,148,994.769,78.34,85,959,64.97,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146823,20.14,42.35,148,994.766,76.29,85,959,65.0,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146824,20.14,42.37,139,994.768,75.87,79,925,65.0,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146826,20.16,42.29,139,994.768,76.64,79,925,65.02,16.32,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146827,20.14,42.29,146,994.77,76.84,77,909,64.99,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146828,20.13,42.25,146,994.768,78.88,79,925,64.98,16.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146829,20.14,42.22,146,994.768,77.07,79,925,64.99,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146830,20.14,42.2,146,994.765,78.13,79,925,64.99,16.31,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146831,20.16,42.19,146,994.762,77.27,79,925,65.01,16.32,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146832,20.18,42.19,146,994.759,77.0,79,925,65.04,16.34,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146833,20.21,42.12,139,994.757,78.17,78,913,65.07,16.33,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146834,20.23,42.07,146,994.754,76.91,78,913,65.09,16.35,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146835,20.26,41.99,146,994.753,78.4,75,895,65.12,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146837,20.25,41.99,146,994.752,76.83,75,895,65.11,16.28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146838,20.26,41.97,146,994.754,77.98,62,808,65.12,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146839,20.27,41.95,144,994.757,79.18,70,865,65.13,16.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146840,20.26,41.98,139,994.756,78.31,68,848,65.12,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146841,20.27,41.97,146,994.757,77.63,70,865,65.13,16.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146842,20.26,41.98,146,994.758,78.45,68,848,65.12,16.29,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146843,20.27,41.96,146,994.754,77.87,68,848,65.13,16.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146844,20.3,41.9,137,994.749,77.56,66,836,65.17,16.32,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146845,20.34,41.82,148,994.746,77.67,63,819,65.21,16.36,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146847,20.34,41.78,146,994.746,76.77,63,819,65.21,16.36,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146848,20.35,41.71,146,994.746,78.39,62,808,65.22,16.36,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146849,20.36,41.68,146,994.746,76.69,61,804,65.23,16.37,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146850,20.36,41.68,146,994.745,77.8,63,819,65.23,16.37,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146851,20.4,41.63,141,994.746,79.28,61,804,65.27,16.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146852,20.4,41.63,146,994.747,78.2,59,793,65.27,16.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146853,20.42,41.6,144,994.752,77.42,59,793,65.3,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146854,20.45,41.53,146,994.748,76.15,59,793,65.33,16.41,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146855,20.46,41.5,146,994.745,76.37,59,793,65.34,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146856,20.48,41.41,139,994.745,77.68,59,793,65.36,16.44,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146858,20.5,41.37,146,994.748,77.39,61,804,65.38,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146859,20.5,41.36,146,994.744,76.73,61,804,65.38,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146860,20.51,41.33,146,994.743,79.07,61,804,65.39,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146861,20.52,41.33,137,994.744,77.98,61,804,65.4,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146862,20.52,41.34,146,994.741,77.71,63,819,65.4,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146863,20.54,41.31,146,994.744,78.16,63,819,65.43,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146864,20.52,41.34,146,994.742,77.51,65,832,65.4,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146865,20.52,41.35,146,994.741,76.85,65,832,65.4,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146866,20.52,41.31,148,994.742,76.93,65,832,65.4,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146867,20.5,41.4,137,994.74,76.72,65,832,65.38,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146869,20.52,41.37,146,994.743,76.77,65,832,65.4,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146870,20.53,41.38,141,994.743,78.29,68,848,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146871,20.56,41.29,146,994.746,76.53,68,848,65.45,16.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146872,20.57,41.28,144,994.744,77.45,70,863,65.46,16.51,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146873,20.57,41.3,146,994.74,77.33,70,863,65.46,16.51,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146874,20.56,41.29,146,994.739,78.11,70,863,65.45,16.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
